Timestamp,People_Count,Camera_Location
2025-04-23 05:06:37,1,Main Entrance
2025-04-23 05:06:37,1,Main Entrance
2025-04-23 05:06:40,0,Main Entrance
2025-04-23 05:06:42,1,Main Entrance
2025-04-23 05:06:44,0,Main Entrance
2025-04-23 05:06:46,1,Main Entrance
2025-04-23 05:06:48,1,Main Entrance
2025-04-23 05:06:51,1,Main Entrance
2025-04-23 05:06:53,1,Main Entrance
2025-04-23 05:06:55,1,Main Entrance
2025-04-23 05:09:15,2,Main Entrance
2025-04-23 05:09:16,0,Main Entrance
2025-04-23 05:09:18,1,Main Entrance
2025-04-23 05:09:20,1,Main Entrance
2025-04-23 05:09:22,1,Main Entrance
